city_id, city, country, img_url
4,Tokyo,Japan,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.oz99252P3hNJ6dRz5rstGwHaEK%26pid%3DApi&f=1&ipt=28ea52758c2a58c6812e6dd6b3583f6ab9526c53c5ec44ca28d403fd6491ff32&ipo=images"
3,Madrid,Spain,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xh2nK3gWxr40rJp_GhTy4QHaE8%26pid%3DApi&f=1&ipt=a6f5059165d3b870f211a5a4e9cfbe450e5b776cc0af08526b29ce03c86a0697&ipo=images"
3,Madrid,Spain,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.GmX9yTj1dWEDIanoHRyb0QHaE8%26pid%3DApi&f=1&ipt=8a078572129bd19a546d2b9f5b295c8e876d05995d9924a1be74392fcd4bebf3&ipo=images"
3,Madrid,Spain,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.MXiYW9SH6i6Kvfbgj8RGfwHaE8%26pid%3DApi&f=1&ipt=19fd9210f09b59471185027dacbc1cc8f80feea4fe0999c4e86ad289c66660e5&ipo=images"
2,Dubai,United Arab Emirates,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.ZnGUO-fxcU_lqRsxqR2DiwHaEq%26pid%3DApi&f=1&ipt=be2982c824ac691296c24304a75e44b961056fc542ca6bb9b59ae7a83676f2a7&ipo=images"
2,Dubai,United Arab Emirates,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.nxD-MDq_k-8hhwf-oGpQJgHaEk%26pid%3DApi&f=1&ipt=fda28730f716395b2df214908ed99455c55161ea30f804def604cc138f3c1af4&ipo=images"
2,Dubai,United Arab Emirates,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Lll7__dNSC5_GrShjyLMMAHaE5%26pid%3DApi&f=1&ipt=5e895bd3f7d13b0c05ea6f6dd3f6fa6171c7a49b77a52564042fad76b677518b&ipo=images"
1,Paris,France,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.h8_khAzOayGbgKBRsPVZZAHaEo%26pid%3DApi&f=1&ipt=805aa097ae7f79ef9e8f1183b2c129b377b02c50bd2364872742bbe7b293cff1&ipo=images"
1,Paris,France,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.sn2iZvtG79DSCMOU9eZHSwHaEK%26pid%3DApi&f=1&ipt=eb6244df2aa33c5aedf11f9560526c112be8db1d05831410ffdf1f04734f9431&ipo=images"
1,Paris,France,"//external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qnxB30nn4nHvFHVi9HWKRwHaEo%26pid%3DApi&f=1&ipt=d2c34e359c18c880366c10dbeac16a057f2fbbca57ab480785144c54c9e78f4c&ipo=images"
